year,status,percentage
2000,Clean,32.5
2001,Clean,48.333333333333336
2002,Clean,57.49999999999999
2003,Clean,63.33333333333333
2004,Clean,54.16666666666666
2005,Clean,52.73972602739726
2006,Clean,65.75342465753424
2007,Clean,65.73426573426573
2008,Clean,55.24475524475524
2009,Clean,19.58041958041958
2010,Clean,8.391608391608392
2011,Clean,2.142857142857143
2012,Clean,8.571428571428571
2013,Clean,0.0
2014,Clean,0.0
2015,Clean,0.0
2016,Clean,0.0
2017,Clean,0.0
2018,Clean,37.76223776223776
2019,Clean,36.80555555555556
2020,Clean,57.638888888888886
2021,Clean,86.11111111111111
2000,Polluted,15.0
2001,Polluted,17.5
2002,Polluted,18.33333333333333
2003,Polluted,12.5
2004,Polluted,15.0
2005,Polluted,19.17808219178082
2006,Polluted,15.068493150684931
2007,Polluted,8.391608391608392
2008,Polluted,12.587412587412588
2009,Polluted,29.37062937062937
2010,Polluted,36.36363636363637
2011,Polluted,40.71428571428572
2012,Polluted,42.142857142857146
2013,Polluted,67.14285714285714
2014,Polluted,89.28571428571429
2015,Polluted,86.42857142857143
2016,Polluted,92.14285714285714
2017,Polluted,64.28571428571429
2018,Polluted,36.36363636363637
2019,Polluted,36.11111111111111
2020,Polluted,10.416666666666668
2021,Polluted,6.25
